jobId,resumeId,similarity,domainResume,domainDesc,company name
12,12814706,0.7960833,BUSINESS-DEVELOPMENT,"Senior Accountant - Florham Park, NJ",MSI Systems Corp.
12,13264796,0.783818,ENGINEERING,"Senior Accountant - Florham Park, NJ",MSI Systems Corp.
12,52979663,0.7830908,HR,"Senior Accountant - Florham Park, NJ",MSI Systems Corp.
12,79376680,0.7815871,SALES,"Senior Accountant - Florham Park, NJ",MSI Systems Corp.
12,54227873,0.78017086,ENGINEERING,"Senior Accountant - Florham Park, NJ",MSI Systems Corp.
13,20628003,0.9663435,DIGITAL-MEDIA,Senior Marketing Specialist,OhioHealth
13,18368613,0.9651818,SALES,Senior Marketing Specialist,OhioHealth
13,27497542,0.96307385,DESIGNER,Senior Marketing Specialist,OhioHealth
13,27139412,0.96298146,BUSINESS-DEVELOPMENT,Senior Marketing Specialist,OhioHealth
14,14064815,0.9717173,ADVOCATE,Sales And Marketing Representative,BENCO NEW YORK
14,12938200,0.9692396,HEALTHCARE,Sales And Marketing Representative,BENCO NEW YORK
14,37374340,0.9677381,HEALTHCARE,Sales And Marketing Representative,BENCO NEW YORK
14,32219038,0.96733123,HEALTHCARE,Sales And Marketing Representative,BENCO NEW YORK
14,10969918,0.9669027,FITNESS,Sales And Marketing Representative,BENCO NEW YORK
